round,loss,rmse
0,0.5604732632637024,0.7446689009666443
1,0.28990548849105835,0.5329476594924927
2,0.13461138308048248,0.35889938473701477
3,0.18098598718643188,0.4186776876449585
4,0.15215450525283813,0.38287681341171265
5,0.13926343619823456,0.36587652564048767
6,0.12159958481788635,0.34111642837524414
7,0.14329536259174347,0.3717533051967621
8,0.11943021416664124,0.3383670151233673
9,0.14221374690532684,0.370700478553772
10,0.11890127509832382,0.33802756667137146
11,0.13845285773277283,0.3659941554069519
